task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T022,T022-A-99-c298e8,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,542,474,300,0.006126,0.001422,0.0,0.0,0.007548000000000001,False,False,0.29679200088139623,True,0.75,0,0,6589.346124994336,claude-sonnet-4-6
T023,T023-A-99-60da8b,extract,extract,99,sonnet,full-history,A,1,Billing,70,0,237,0.003765,0.0,0.0,0.0,0.003765,False,False,0.32020799699239433,True,1.0,0,0,6287.59258298669,claude-sonnet-4-6
T023,T023-A-99-60da8b,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,223,142,300,0.005169000000000001,0.000426,0.0,0.0,0.005595000000000001,False,False,1.7692499968688935,False,0.75,0,0,4931.523124992964,claude-sonnet-4-6
T023,T023-A-99-60da8b,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,489,321,300,0.005967,0.000963,0.0,0.0,0.00693,False,False,0.28154200117569417,False,0.0,0,0,4873.355584000819,claude-sonnet-4-6
T023,T023-A-99-60da8b,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,533,453,300,0.006099,0.001359,0.0,0.0,0.007458,False,False,0.2819170040311292,True,0.75,0,0,6634.631042004912,claude-sonnet-4-6
T024,T024-A-99-fd0d50,extract,extract,99,sonnet,full-history,A,1,Billing,68,0,205,0.0032790000000000002,0.0,0.0,0.0,0.0032790000000000002,False,False,0.44462499499786645,True,0.75,0,0,5402.340667002136,claude-sonnet-4-6
T024,T024-A-99-fd0d50,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,223,136,254,0.004479,0.000408,0.0,0.0,0.004887000000000001,False,False,0.3365419979672879,True,0.75,0,0,4172.6504170073895,claude-sonnet-4-6
T024,T024-A-99-fd0d50,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,514,341,300,0.0060420000000000005,0.001023,0.0,0.0,0.007065,False,False,0.26362499920651317,False,0.5,0,0,5572.700667005847,claude-sonnet-4-6
T024,T024-A-99-fd0d50,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,554,481,300,0.006162000000000001,0.001443,0.0,0.0,0.007605000000000001,False,False,0.3436660044826567,False,0.5,0,0,7523.86479100096,claude-sonnet-4-6
T025,T025-A-99-38975e,extract,extract,99,sonnet,full-history,A,1,Billing,73,0,272,0.004299000000000001,0.0,0.0,0.0,0.004299000000000001,False,False,0.8136670076055452,True,0.8,0,0,6792.711000001873,claude-sonnet-4-6
